Year	Grid	Season	Tag	Mass	Status
Y1995	TC	June	C2937	27	None
Y1995	TC	August	C2937	29	None
Y1995	TC	June	C2940	27	None
Y1995	TC	August	C2940	28	None
Y1995	TC	November	C2940	25	None
Y1995	TE	October	C2941	25	None
Y1995	TC	October	C2941	27	None
Y1995	TC	June	C2951	23	None
Y1995	TC	June	C2958	27	None
Y1995	TC	August	C2958	25	None
Y1995	TC	August	C2960	21	None
Y1995	TC	August	C2964	26	None
Y1995	TC	October	C2964	26	None
Y1995	TC	August	C2967	23	None
Y1995	TC	October	C2967	23	None
Y1995	TC	November	C2967	21	None
Y1995	TC	June	C2969	27	None
Y1995	TC	August	C2969	26	None
Y1995	TC	June	C2970	25	None
Y1995	TC	August	C2970	25	None
Y1995	TC	October	C2970	27	None
Y1995	TC	November	C2970	23	None
Y1995	TC	August	C2971	28	None
Y1995	TC	August	C2984	30	None
Y1995	TC	October	C2984	30	None
Y1995	TC	June	C2999	28	None
Y1991	HC	December	C3	27	None
Y1998	TC	July	C3003	27	None
Y1998	TC	August	C3003	25	None
Y1997	HC	June	C3004	24	None
Y1997	HC	September	C3004	23	None
Y1997	HC	June	C3006	18	None
Y1997	HC	September	C3007	24	None
Y1997	HC	September	C3015	20	None
Y1995	HC	October	C3026	20	None
Y1997	HC	September	C3048	18	None
Y1995	HC	September	C3057	25	None
Y1997	HC	June	C3064	24	None
Y1995	HC	September	C3081	24	None
Y1995	HC	October	C3081	23	None
Y1997	HC	June	C3097	23	None
Y1997	HC	October	C3121	18	None
Y1997	HC	September	C3125	25	None
Y1997	HC	October	C3125	25	None
Y1997	HC	September	C3131	15	None
Y1997	HC	June	C3137	22	None
Y1995	HC	October	C3188	20	None
Y1995	HC	October	C3190	19	None
Y1995	HC	October	C3194	19	None
Y1995	HC	October	C3195	20	None
Y1999	HC	August	C3209	21	None
Y1999	HC	October	C3210	20	None
Y1999	HC	October	C3210	19	None
Y1997	HC	June	C3216	19	None
Y1997	HC	October	C3216	25	None
Y1998	HC	August	C3242	20	None
Y1998	HC	July	C3252	19	None
Y1998	HC	July	C3257	26	None
Y1998	HC	August	C3257	26	None
Y1998	HC	July	C3261	22	None
Y1998	HC	August	C3261	24	None
Y1999	HC	August	C3261	29	None
Y1999	HC	August	C3261	30	None
Y1999	HC	October	C3261	31	None
Y1998	HC	July	C3264	28	None
Y1998	HC	July	C3266	21	None
Y1998	HC	August	C3266	26	None
Y1998	HC	July	C3267	24	None
Y1998	HC	August	C3267	27	None
Y1998	HC	July	C3268	19	None
Y1998	HC	August	C3268	26	None
Y1998	HC	August	C3276	17	None
Y1998	HC	August	C3281	22	None
Y1998	HC	August	C3282	23	None
Y1998	TC	July	C3302	25	None
Y1998	TC	August	C3302	24	None
Y1998	TC	September	C3302	25	None
Y1998	TC	October	C3302	24	None
Y1997	HC	October	C3313	22	None
Y1998	HC	July	C3316	25	None
Y1998	HC	August	C3316	25	None
Y1998	HC	July	C3348	23	None
Y1998	HC	August	C3348	23	None
Y1998	TC	July	C3351	28	None
Y1998	HC	July	C3356	24	None
Y1998	TC	July	C3366	21	None
Y1998	TC	August	C3366	24	None
Y1998	TC	September	C3366	21	None
Y1998	TC	July	C3369	27	None
Y1998	TC	August	C3369	27	None
Y1998	TC	September	C3369	28	None
Y1997	HC	October	C3375	22	None
Y1997	HC	October	C3376	17	None
Y1997	HC	October	C3377	18	None
Y1998	HC	August	C3428	17	None
Y1998	HC	July	C3433	23	None
Y1998	HC	July	C3434	19	None
Y1998	HC	August	C3434	22	None
Y1998	HC	July	C3435	14	None
Y1998	HC	August	C3435	21	None
Y1998	HC	July	C3437	21	None
Y1998	HC	August	C3437	23	None
Y1998	HC	July	C3438	20	None
Y1998	HC	August	C3438	25	None
Y1998	HC	July	C3440	20	None
Y1998	TC	July	C3505	20	None
Y1998	TC	August	C3505	23	None
Y1998	TC	September	C3505	23	None
Y1998	TC	October	C3505	23	None
Y1999	TC	June	C3505	26	None
Y1999	TC	July	C3505	24	None
Y1999	TC	August	C3505	24	None
Y1999	TC	September	C3505	24	None
Y1999	TC	October	C3505	24	None
Y1998	TC	July	C3517	26	None
Y1998	TC	August	C3517	29	None
Y1998	TC	September	C3517	29	None
Y1999	GC	June	C3518	23	None
Y1998	TC	July	C3563	24	None
Y1998	TC	September	C3563	19	None
Y1998	TC	July	C3581	26	None
Y1998	TC	August	C3581	27	None
Y1998	TC	September	C3581	27	None
Y1998	TC	October	C3581	24	None
Y1998	TC	July	C3589	25	None
Y1998	TC	July	C3595	24	None
Y1998	TC	August	C3595	24	None
Y1998	TC	August	C3601	16	None
Y1998	TC	October	C3604	16	None
Y1998	TC	July	C3614	18	None
Y1998	TC	August	C3614	22	None
Y1998	TC	September	C3614	23	None
Y1998	TC	October	C3614	21	None
Y1998	TC	July	C3615	19	None
Y1998	TC	August	C3615	21	None
Y1998	TC	July	C3616	17	None
Y1998	TC	August	C3616	18	None
Y1998	TC	September	C3616	19	None
Y1998	TC	October	C3616	23	None
Y1999	TC	June	C3616	23	None
Y1999	TC	July	C3616	22	None
Y1999	TC	August	C3616	21	None
Y1998	TC	July	C3617	20	None
Y1998	TC	August	C3617	28	None
Y1998	TC	September	C3617	24	None
Y1998	TC	October	C3617	24	None
Y1998	TC	July	C3619	17	None
Y1998	TC	August	C3620	18	None
Y1998	TC	September	C3620	19	None
Y1998	TC	October	C3620	22	None
Y1998	TC	October	C3621	22	None
Y1999	TC	June	C3621	27	None
Y1999	TC	July	C3621	25	None
Y1999	TC	August	C3621	26	None
Y1999	TC	September	C3621	23	None
Y1999	TC	October	C3621	25	None
Y1999	TC	November	C3621	26	None
Y1998	TC	July	C3622	27	None
Y1998	TC	October	C3623	16	None
Y1999	TC	June	C3623	20	None
Y1998	TC	October	C3624	23	None
Y1998	TC	October	C3626	20	None
Y1999	TC	June	C3630	23	None
Y1998	TC	October	C3632	29	None
Y1998	TC	October	C3633	16	None
Y1998	TC	October	C3638	21	None
Y1998	TC	October	C3639	19	None
Y1998	TC	October	C3641	18	None
Y1998	TC	July	C3648	21	None
Y1998	TC	August	C3648	20	None
Y1998	TC	September	C3648	23	None
Y1998	TC	July	C3649	17	None
Y1998	TC	August	C3649	19	None
Y1998	TC	September	C3649	20	None
Y1998	TC	October	C3649	22	None
Y1998	TC	July	C3656	22	None
Y1998	TC	August	C3656	22	None
Y1998	TC	September	C3656	23	None
Y1998	TC	July	C3657	18	None
Y1998	TC	August	C3657	18	None
Y1998	TC	September	C3657	20	None
Y1998	TC	July	C3660	22	None
Y1998	TC	July	C3665	19	None
Y1998	TC	August	C3665	18	None
Y1999	TC	June	C3673	24	None
Y1999	TC	July	C3673	21	None
Y1999	TC	August	C3673	20	None
Y1999	TC	September	C3673	22	None
